K Ashwin Kumar,Abdul Quamar
Jiaji Huang,Qiang Qiu
Jiashi Feng,Huan Xu
Michael C Hughes,William T Stephenson
Huahua Wang,Arindam Banerjee
Emily L Denton,Soumith Chintala
Andrew Gordon Wilson,Elad Gilboa
Oluwasanmi Koyejo,Nagarajan Natarajan
Dino Sejdinovic,Arthur Gretton
Mohammad Taha Bahadori,Qi Rose Yu
Chongjie Zhang,Julie A Shah
Shulin Yang,Liefeng Bo
Zhuo Wang,Alan A Stocker
Josip Djolonga,Andreas Krause
Shenlong Wang,Alexander G Schwing
Michael C Hughes,Erik B Sudderth
Marthinus Christoffel du Plessis,Gang Niu
Yuya Yoshikawa,Tomoharu Iwata
Mathew Monfort,Brenden M Lake
Hyun Oh Song,Yong Jae Lee
Yining Wang,YuXiang Wang
Marcelo Fiori,Pablo Museacute
Tuo Zhao,Han Liu
Cristina Savin,Sophie Denegrave
Tianyang Li,Adarsh Prasad
Alessandro Perina,Nebojsa Jojic
Xianghang Liu,Justin Domke
Rafael M Frongillo,Mark D Reid
Maksims Volkovs,Richard S Zemel
Kang Li,Jing Gao
Anuj Karpatne,Ankush Khandelwal
Zheng Chen,Weixiong Zhang
Karthik Subbian,Charu C Aggarwal
Yuxuan Li,James Bailey
Ben Tan,Evan Wei Xiang
Klemens Bouml,Fabian Keller
U Kang,Hanghang Tong
Danai Koutra,U Kang
Sheng Li,Yun Fu
SanChuan Hung,PerngHwa Kung
Sudip Saha,Abhijin Adiga
Tamara G Kolda,Ali Pinar
Ian Davidson,Hongfei Li
Vladimir Coric,Nemanja Djuric
Christian Bouml,Jing Feng
Nicola Barbieri,Giuseppe Manco
Charu C Aggarwal,Shuyang Lin
Jiliang Tang,Huan Liu
Adway Mitra,Soma Biswas
Peng Wang,Peng Zhang
Xia Hu,Jiliang Tang
Shuiwang Ji,Wenlu Zhang
TuanAnh Hoang,William W Cohen
Yu Cheng,Zhengzhang Chen
Irene Ntoutsi,Arthur Zimek
Tantan Liu,Gagan Agrawal
Meng Fang,Jie Yin
Patricia Iglesias Saacute,Emmanuel Muuml
Mohammad ShokoohiYekta,Jun Wang
Priyanka Agrawal,Vikas C Raykar
Himabindu Lakkaraju,Jure Leskovec
Yan Liu,Mohammad Taha Bahadori
Mahdi Pakdaman Naeini,Iyad Batal
Lei Liu,Prakash Mandayam Comar
Mahdi Pakdaman Naeini,Gregory F Cooper
Nan Li,Huan Sun
Anuj Karpatne,Ankush Khandelwal
Longbing Cao,Zhifeng Hao
Mihajlo Grbovic,Nemanja Djuric
Hoang Thanh Lam,Fabian Moerchen
Anton Dries,Siegfried Nijssen
Tanwistha Saha,Huzefa Rangwala
Bing Tian Dai,Freddy Chong Tat Chua
Joyce Jiyoung Whang,Inderjit S Dhillon
Lavanya Sita Tekumalla,Chiranjib Bhattacharyya
Karthik Subbian,Arindam Banerjee
Karthik Subbian,Arindam Banerjee
EePeng Lim,TuanAnh Hoang
Tri Kurniawan Wijaya,Tanuja Ganu
Jidong Chen,Wentao Wu
Parikshit Sondhi,ChengXiang Zhai
Petko Bogdanov,Christos Faloutsos
Ruilin Liu,Wendy Hui Wang
Evangelos E Papalexakis,Christos Faloutsos
Wei Gong,EePeng Lim
Yan Zhou,Murat Kantarcioglu
Hau Chan,Leman Akoglu
Tong Xu,Hao Zhong
Sunho Park,TaeHyun Hwang
Meng Fang,Dacheng Tao
Ryan R Curtin,Alexander G Gray
Houping Xiao,Yaliang Li
Tanuja Ganu,Sundararajan Sellamanickam
Yao Zhang,B Aditya Prakash
Zhengzhang Chen,Alok N Choudhary
JeonHyung Kang,Jun Ma
Shin Ando,Einoshin Suzuki
Xiaokai Wei,Sihong Xie
Li Chen,Weike Pan
Shuangfei Zhai,Zhongfei Mark Zhang
Hau Chan,Shuchu Han
Jing Gao,Jiawei Han
Leman Akoglu,Duen Horng Chau
Ling Chen,Chunyang Liu
Yu Cheng,Ankit Agrawal
Liang Zhao,Feng Chen
Steven C H Hoi,Peilin Zhao
Ramnath Balasubramanyan,William W Cohen
Qiming Diao,Jing Jiang
Jianpeng Xu,Jiayu Zhou
Jia Wu,Zhibin Hong
Jialu Liu,Chi Wang
Grigorios Loukides,Robert Gwadera
Xueqi Cheng,Jiafeng Guo
Anthony Bagnall,Luke M Davis
Sanjay Chawla,Aristides Gionis
Joel Barajas,Ram Akella
Behzad Golshan,Evimaria Terzi
Xiaoxiao Shi,JeanFranccedil
Chris H Q Ding,Deguang Kong
Subhabrata Mukherjee,Gaurab Basu
Samuel J Blasiak,Huzefa Rangwala
Mingsheng Long,Jianmin Wang
Ahmed Elgohary,Ahmed K Farahat
Ruilin Liu,Wendy Hui Wang
Juhua Hu,Jian Pei
Nikolaos M Freris,Michail Vlachos
Jing Jiang,Minghui Qiu
Ayan Acharya,Joydeep Ghosh
Sucheta Soundarajan,Tina EliassiRad
Samuel J Blasiak,Huzefa Rangwala
Charu C Aggarwal,Karthik Subbian
Nikolaos M Freris,Michail Vlachos
Jingu Kim,Renato D C Monteiro
Yifan Fu,Junbin Gao
Masaaki Nishino,Norihito Yasuda
Jiliang Tang,Xia Hu
YaZhou Ren,Carlotta Domeniconi
Ira Assent,Xuan Hong Dang
Hongbo Deng,Jiawei Han
Jiliang Tang,Huan Liu
Freddy Chong Tat Chua,Hady Wirawan Lauw
Giovanni Da San Martino,Nicolograve
Erheng Zhong,Wei Fan
Tong Zhao,Naiwen Bian
Soumyadeep Chatterjee,Karsten Steinhaeuser
Erich Schubert,Arthur Zimek
Wei Fan,Xiaoxiao Shi
Liangyue Li,Hanghang Tong
Jaya Kawale,Daniel Boley
Sihong Xie,Wei Fan
Charanpal Dhanjal,Romaric Gaudel
Jesin Zakaria,Sarah Rotschafer
Jonathan H Huggins,Cynthia Rudin
Karthik Subbian,Charu C Aggarwal
Xiao Yu,Quanquan Gu
Yanjie Fu,Bin Liu
Sujatha Das Gollapalli,Yanjun Qi
Prithwish Chakraborty,Pejman Khadivi
Franccedil,ois Petitjean
YunQian Miao,Ahmed K Farahat
Xiaoxiao Shi,Xiangnan Kong
Yuan Hao,Bilson J L Campana
Zhongqi Lu,Weike Pan
Yunlong He,Koray Kavukcuoglu
Jaya Kawale,Aditya Pal
Huiwen Yu,Dayu Yuan
David Garciacute,aSoriano
Huiwen Yu,Dayu Yuan
Eric Heim,Matthew Berger
Nicola Barbieri,Francesco Bonchi
Jiliang Tang,Xia Hu
Longbing Cao,Jinjiu Li
Mahito Sugiyama,Felipe LlinaresLoacute
Ruilin Liu,Philippos Mordohai
James Bailey,Jeffrey Chan
Leman Akoglu,Hanghang Tong
Lianhua Chi,Bin Li
Ayan Acharya,Raymond J Mooney
Kai Zhang,Qiaojun Wang
Senzhang Wang,Sihong Xie
Xi C Chen,Abdullah Mueen
Deguang Kong,Hongxia Jin
Ben Tan,Erheng Zhong
Peng Peng,Raymond ChiWing Wong
Aditya Krishna Menon,Didi Surian
Lisa Friedland,Amanda Gentzel
Jana Schmidt,Sonja Ansorge
Hamed Valizadegan,Saeed Amizadeh
ChiaTung Kuo,Ian Davidson
William W Cohen,Bhavana Bharat Dalvi
RongHua Li,Jeffrey Xu Yu
Boris Cule,Nikolaj Tatti
Wei Wei,Junfu Yin
Sheng Li,Ming Shao
Jiliang Tang,Chikashi Nobata
Fragkiskos D Malliaros,Vasileios Megalooikonomou
Wei Ding,Xindong Wu
Jiawei Zhang,Philip S Yu
Xi C Chen,Karsten Steinhaeuser
Marina Danilevsky,Chi Wang
Yuanyuan Liu,Fanhua Shang
Xinran He,Guojie Song
Peng Zhou,Liang Du
GuoJun Qi,Charu C Aggarwal
Hongfu Liu,Junjie Wu
Anna Drummond,Chris Jermaine
Dae Hoon Park,ChengXiang Zhai
Eamonn J Keogh,Thanawin Rakthanmanon
Lei Cen,Deguang Kong
Xi Chen,Jingrui He
Jing Gao,Liang Ge
Zhifeng Hao,Bo Liu
Peng Peng,Raymond ChiWing Wong
Hanbo Dai,Feida Zhu
Parikshit Ram,Dongryeol Lee
Shebuti Rayana,Leman Akoglu
Zheng Chen,Chengtao Li
Ian Davidson,Buyue Qian
Chenyi Zhang,Ke Wang
Qi Liu,Enhong Chen
Zongzhang Zhang,David Hsu
Corinna Cortes,Vitaly Kuznetsov
Joonseok Lee,Seungyeon Kim
Tor Lattimore,Marcus Hutter
Huang Xiao,Battista Biggio
Wei Gao,Rong Jin
Yudong Chen,Constantine Caramanis
Kai Wei,Rishabh K Iyer
Qingming Tang,Siqi Sun
Walid Krichene,Benjamin Drighegrave
Zhixiang Eddie Xu,Matt J Kusner
Junfeng Wen,ChunNam Yu
Ji Liu,Lei Yuan
MohamadAli Torkamani,Daniel Lowd
Karthik Raman,Thorsten Joachims
Wenzhuo Yang,Huan Xu
ShuangHong Yang,Hongyuan Zha
Joseacute,Miguel Hernaacute
Debarghya Ghoshdastidar,Ambedkar Dukkipati
Yacine Jernite,Alexander M Rush
Dani Yogatama,Manaal Faruqui
Shashank Singh,Barnabaacute
Behnam Neyshabur,Nathan Srebro
Hyunwoo J Kim,Jia Xu
Adith Swaminathan,Thorsten Joachims
Zijia Lin,Guiguang Ding
Seacute,bastien Bubeck
Marc G Bellemare,Joel Veness
Philip Bachman,Amir Massoud Farahmand
Richard Combes,Alexandre Proutiegrave
Eunho Yang,Aurelie C Lozano
LiPing Liu,Daniel Sheldon
Alan Malek,Yasin AbbasiYadkori
Yong Liu,Shali Jiang
Corinna Cortes,Mehryar Mohri
Chang Xu,Dacheng Tao
Nihar B Shah,Dengyong Zhou
David I Inouye,Pradeep Ravikumar
Kareem Amin,Hoda Heidari
Tian Lin,Bruno D Abrahao
Chris J Maddison,Daniel Tarlow
Ke Sun,Jun Wang
Dino Sejdinovic,Heiko Strathmann
Matteo Pirotta,Marcello Restelli
Tamara Broderick,Brian Kulis
Sashank J Reddi,Barnabaacute
Yichuan Tang,Ruslan Salakhutdinov
ChoJui Hsieh,Inderjit S Dhillon
Andreas Argyriou,Francesco Dinuzzo
Jinfeng Yi,Lijun Zhang
Christos Dimitrakakis,Nikolaos Tziortziotis
LiangChieh Chen,Alexander G Schwing
Xinran He,Theodoros Rekatsinas
Arun Iyer,J Saketha Nath
Danilo Jimenez Rezende,Shakir Mohamed
Tom Schaul,Daniel Horgan
Shai BenDavid,Nika Haghtalab
Aonan Zhang,John Paisley
David Barber,Yali Wang
Matt J Kusner,Jacob R Gardner
Eunho Yang,Aurelie C Lozano
Pedro H O Pinheiro,Ronan Collobert
Mathieu Germain,Karol Gregor
Haitham BouAmmar,Eric Eaton
Uri Shalit,Daphna Weinshall
Roacute,bert BusaFekete
Jacob R Gardner,Matt J Kusner
Creighton Heaukulani,Zoubin Ghahramani
Hoang Vu Nguyen,Emmanuel Muuml
Christopher Berlind,Ruth Urner
Felix X Yu,Sanjiv Kumar
Wei Bi,James TinYau Kwok
Harikrishna Narasimhan,Harish G Ramaswamy
Huayan Wang,Daphne Koller
Zheng Wen,Branislav Kveton
Nikos Karampatziakis,Paul Mineiro
Bruno Castro da Silva,George Konidaris
Xiaojun Chang,Yi Yang
Pratik Jawanpuria,Manik Varma
Trung V Nguyen,Edwin V Bonilla
Daniel Tarlow,Kevin Swersky
Hadi Daneshmand,Manuel GomezRodriguez
Bo Xin,David P Wipf
YuXiang Wang,Huan Xu
Steacute,phan Cleacute
Marc Schoenauer,Riad Akrour
Pooria Joulani,Andraacute
Sergey Levine,Vladlen Koltun
Fang Han,Han Liu
Arun Rajkumar,Shivani Agarwal
Ke Zhou,Hongyuan Zha
Ke Sun,Steacute
Ross B Girshick,Hyun Oh Song
Shiau Hong Lim,Yudong Chen
Shike Mei,Jun Zhu
Mingkui Tan,Ivor W Tsang
Fredrik D Johansson,Vinay Jethava
Tom Schaul,Sixin Zhang
Adam Coates,Brody Huval
Bojun Tu,Zhihua Zhang
Yuri Grinberg,Doina Precup
Manuel GomezRodriguez,Jure Leskovec
Yariv Dror Mizrahi,Misha Denil
Liva Ralaivola,MassihReza Amini
Tianqi Chen,Emily B Fox
Yuxin Chen,Yuejie Chi
Mohammad Gheshlaghi Azar,Alessandro Lazaric
Wenzhuo Yang,Huan Xu
Yasin AbbasiYadkori,Peter L Bartlett
Oscar Beijbom,Mohammad J Saberian
Raphael Sznitman,Aureacute
Nina Balcan,Christopher Berlind
Balaacute,zs Szouml
Yudong Chen,Shiau Hong Lim
Gang Niu,Bo Dai
Sida I Wang,Christopher D Manning
Ziyu Wang,Shakir Mohamed
Harm van Seijen,Richard S Sutton
Yaoliang Yu,Hao Cheng
Michaeuml,l Perrot
Alessio Benavoli,Giorgio Corani
ChoJui Hsieh,HsiangFu Yu
KaiWei Chang,Akshay Krishnamurthy
Pinghua Gong,Jieping Ye
Bernardo Avila Pires,Csaba Szepesvaacute
Matt J Kusner,Yu Sun
Yuxin Chen,Andreas Krause
Zhiting Hu,Qirong Ho
Maayan Harel,Shie Mannor
Brooks Paige,Frank Wood
Misha Denil,David Matheson
Ji Liu,Jieping Ye
Andrew Gordon Wilson,Ryan Prescott Adams
Lijun Zhang,Jinfeng Yi
Wenzhuo Yang,Huan Xu
Suriya Gunasekar,Pradeep Ravikumar
Alessio Benavoli,Giorgio Corani
Yuan Fang,Kevin ChenChuan Chang
Manjesh Kumar Hanawal,Venkatesh Saligrama
Yuan Zhou,Xi Chen
Eric Sibony,Steacute
Yining Wang,Jun Zhu
Elad Gilboa,Yunus Saatccedil
Ralf Eggeling,Mikko Koivisto
Christos Boutsidis,Prabhanjan Kambadur
Aviv Tamar,Shie Mannor
Arpit Agarwal,Harikrishna Narasimhan
Ehsan Amid,Antti Ukkonen
Huitong Qiu,Sheng Xu
Jun Wang,Ke Sun
Arun Tejasvi Chaganty,Percy Liang
Daryl Lim,Gert R G Lanckriet
John Schulman,Sergey Levine
Ruiliang Zhang,James T Kwok
Christopher De Sa,Christopher Re
Han Zhao,Mazen Melibari
Daniel Hernaacute,ndezLobato
Aditya Krishna Menon,Omer Tamuz
Amr Ahmed,Liangjie Hong
Ji Liu,Steve J Wright
Guosheng Lin,Chunhua Shen
Jiyan Yang,Xiangrui Meng
Ryan Kiros,Ruslan Salakhutdinov
Alekh Agarwal,Leacute
Sanjeev Arora,Rong Ge
Richard Nock,Giorgio Patrini
Joseacute,Miguel Hernaacute
Yudong Chen,Jiaming Xu
Yudong Chen,Constantine Caramanis
Jacob Steinhardt,Percy Liang
Taco Cohen,Max Welling
Stefano Ermon,Carla P Gomes
Razvan Pascanu,Tomas Mikolov
Megasthenis Asteris,Anastasios T Kyrillidis
Quoc V Le,Tamaacute
Mahsa Baktashmotlagh,Mehrtash Tafazzoli Harandi
Bin Gu,Charles X Ling
Xinyang Yi,Constantine Caramanis
Stefano Ermon,Carla P Gomes
Zhirong Yang,Jaakko Peltonen
Xi Chen,Qihang Lin
Senjian An,Farid Boussaiuml
Megasthenis Asteris,Dimitris S Papailiopoulos
Oren Anava,Elad Hazan
Alexandra Carpentier,Reacute
Mariya Ishteva,Haesun Park
Balaji Lakshminarayanan,Daniel M Roy
Francesco Orabona,Tamir Hazan
Xin Yuan,Ricardo Henao
Ohad Shamir,Tong Zhang
Aditya Gopalan,Shie Mannor
Yann Chevaleyre,Freacute
Adarsh Prasad,Harsh H Pareek
Ling Yan,WuJun Li
Cong Leng,Jiaxiang Wu
Ben London,Bert Huang
Benigno Uria,Iain Murray
Tim Salimans,Diederik P Kingma
Quoc TranDinh,Anastasios T Kyrillidis
Aryeh Kontorovich,Roi Weiss
Zhiwu Huang,Ruiping Wang
Boqing Gong,Kristen Grauman
Yangqing Jia,Oriol Vinyals
Yasuhiro Fujiwara,Go Irie
Greg Ver Steeg,Aram Galstyan
Johannes Heinrich,Marc Lanctot
Harikrishna Narasimhan,Purushottam Kar
Ohad Shamir,Nathan Srebro
Daniel Sheldon,Tao Sun
Samory Kpotufe,Eleni Sgouritsa
Hachem Kadri,Mohammad Ghavamzadeh
Le Song,Animashree Anandkumar
Wenzhao Lian,Ricardo Henao
Eric Sodomka,Elizabeth Hilliard
Yasin AbbasiYadkori,Peter L Bartlett
Ben London,Bert Huang
Ngo Anh Vien,Marc Toussaint
Wenzhuo Yang,Huan Xu
Purushottam Kar,Bharath K Sriperumbudur
Wenlin Chen,James T Wilson
Marc G Bellemare,Joel Veness
Bernardino RomeraParedes,Philip H S Torr
Robert Peharz,Sebastian Tschiatschek
Gabriel Krummenacher,Cheng Soon Ong
HsiangFu Yu,Prateek Jain
ChoJui Hsieh,Inderjit S Dhillon
Jian Tang,Zhaoshi Meng
Taco Cohen,Max Welling
Seunghoon Hong,Tackgeun You
Yuchen Zhang,Xiao Lin
Lisa Friedland,David Jensen
David Belanger,Sham M Kakade
Junpei Komiyama,Junya Honda
Wenlin Chen,Kilian Q Weinberger
Laurens van der Maaten,Minmin Chen
Zhixiang Eddie Xu,Matt J Kusner
Artem Sokolov,Stefan Riezler
Roacute,bert BusaFekete
Timothy Arthur Mann,Shie Mannor
OdalricAmbrym Maillard,Shie Mannor
Jacob Abernethy,Kareem Amin
Mingsheng Long,Yue Cao
Adish Singla,Ilija Bogunovic
Ian EnHsu Yen,Xin Lin
Ha Quang Minh,Loris Bazzani
Nathaniel Korda,Prashanth L A
Dan Garber,Elad Hazan
Paul Mineiro,Nikos Karampatziakis
Haim Avron,Christos Boutsidis
Sergey Levine,Vladlen Koltun
Michal Valko,Alexandra Carpentier
Xuezhi Wang,TzuKuo Huang
Amit Daniely,Alon Gonen
Kacper Chwialkowski,Arthur Gretton
Toby Hocking,Guillem Rigaill
Mohammad Emtiyaz Khan,Aleksandr Y Aravkin
Peter Kairouz,Sewoong Oh
Sanmay Das,Allen Lavoie
Arun Tejasvi Chaganty,Percy Liang
Emile Richard,Francis R Bach
MohamadAli Torkamani,Daniel Lowd
Philip Bachman,Doina Precup
ChoJui Hsieh,Peder A Olsen
Yuekai Sun,Stratis Ioannidis
Ju Sun,Qing Qu
Wenzhao Lian,Vinayak Rao
Max Vladymyrov,Miguel Aacute
Ambuj Tewari,Sougata Chaudhuri
Quannan Li,Jingdong Wang
Ryan R Curtin,William B March
Danilo Jimenez Rezende,Shakir Mohamed
Elad Eban,Elad Mezuman
Akshay Krishnamurthy,Kirthevasan Kandasamy
Krikamol Muandet,Kenji Fukumizu
Xinggang Wang,Baoyuan Wang
Sanjeev Arora,Aditya Bhaskara
Kai Wei,Rishabh K Iyer
Harm van Seijen,Richard S Sutton
Diederik P Kingma,Max Welling
Tianlin Shi,Jun Zhu
Amirmohammad Rooshenas,Daniel Lowd
Olivier Bachem,Mario Lucic
Xin Li,Yuhong Guo
Maxim Rabinovich,David M Blei
Leonidas Lefakis,Franccedil
Charles Blundell,Julien Cornebise
Zhiyuan Chen,Bing Liu
Minjie Xu,Jun Zhu
Timothy Arthur Mann,Daniel J Mankowitz
Alina Beygelzimer,Satyen Kale
Roy Frostig,Rong Ge
Jun Liu,Zheng Zhao
Shaona Ghosh,Adam Pruuml
Rajesh Ranganath,Chong Wang
Meacute,lanie Rey
SeongHwan Jun,Alexandre BouchardCocirc
Aditya Krishna Menon,Harikrishna Narasimhan
Nir Ailon,Yudong Chen
Haipeng Luo,Robert E Schapire
Mohammad Taha Bahadori,David C Kale
Anastasios T Kyrillidis,Stephen Becker
Alekh Agarwal,Sham M Kakade
Balaacute,zs Szouml
Karol Gregor,Ivo Danihelka
Yoshua Bengio,Greacute
Yujia Li,Kevin Swersky
Peilin Zhao,Tong Zhang
Josip Djolonga,Andreas Krause
OdalricAmbrym Maillard,Phuong Nguyen
ChoJui Hsieh,Nagarajan Natarajan
Weiran Wang,Raman Arora
Alexandr Andoni,Rina Panigrahy
Hossein Azari Soufiani,David C Parkes
Jun Zhu,Ning Chen
Alexandra Carpentier,Michal Valko
Elad Hazan,Roi Livni
Mohammad Rastegari,Jonghyun Choi
Misha Denil,David Matheson
Zheng Wen,Branislav Kveton
Yujia Li,Richard S Zemel
Mladen Kolar,Han Liu
Piyush Rai,Yingjian Wang
Hyun Oh Song,Ross B Girshick
Yuchen Zhang,Martin J Wainwright
Jeremy Jancsary,Sebastian Nowozin
Aditya Krishna Menon,Brendan van Rooyen
Jimmy S J Ren,Renjie Liao
Azadeh Khaleghi,Daniil Ryabko
Corinna Cortes,Mehryar Mohri
Scott W Linderman,Ryan P Adams
Yuxin Chen,Leonidas J Guibas
Yudong Chen,Srinadh Bhojanapalli
Aryeh Kontorovich,Boaz Nadler
Xiangrui Meng,Michael W Mahoney
Animashree Anandkumar,Daniel J Hsu
James Neufeld,Andraacute
Nan Jiang,Alex Kulesza
Mathias Niepert,Pedro M Domingos
Karthik S Narayan,Ali Punjani
Sinead Williamson,Avinava Dubey
Sung Ju Hwang,Kristen Grauman
Dan Garber,Elad Hazan
Creighton Heaukulani,David A Knowles
Dougal Maclaurin,David K Duvenaud
Philipp Geiger,Kun Zhang
Marthinus Christoffel du Plessis,Gang Niu
Siddharth Gopal,Yiming Yang
Jason Pacheco,Silvia Zuffi
Pranjal Awasthi,MariaFlorina Balcan
Srinadh Bhojanapalli,Prateek Jain
Wei Ping,Qiang Liu
Nina Balcan,Avrim Blum
Kohei Hayashi,Shinichi Maeda
Philip S Thomas,Georgios Theocharous
Anshumali Shrivastava,Ping Li
David LopezPaz,Krikamol Muandet
Daryl Lim,Gert R G Lanckriet
Purushottam Kar,Harikrishna Narasimhan
Harish G Ramaswamy,Ambuj Tewari
Junier B Oliva,Barnabaacute
Zhirong Yang,Jaakko Peltonen
Nitish Srivastava,Elman Mansimov
Christian Andersson Naesseth,Fredrik Lindsten
Matt Wytock,J Zico Kolter
Rashish Tandon,Pradeep Ravikumar
Huayan Wang,Daphne Koller
Uri Shalit,Gal Chechik
Fabian L Wauthier,Michael I Jordan
Ofer Dekel,Elad Hazan
Aaditya Ramdas,Javier Pentilde
Jean Honorio,Tommi S Jaakkola
Michael Groszlig,Christoph Sawade
David LopezPaz,Suvrit Sra
Pinghua Gong,Changshui Zhang
WeiLun Chao,Justin Solomon
Raja Hafiz Affandi,Emily B Fox
Yuchen Zhang,Xiao Lin
Jasper Snoek,Kevin Swersky
Matt J Kusner,Stephen Tyree
Benjamin Letham,Wei Sun
Harikrishna Narasimhan,Shivani Agarwal
Fang Han,Han Liu
Minmin Chen,Alice X Zheng
Zhe Gan,Changyou Chen
Alekh Agarwal,Daniel J Hsu
Andriy Mnih,Karol Gregor
Quoc V Le,Tomas Mikolov
Richard S Sutton,Ashique Rupam Mahmood
Trung Thanh Nguyen,Zhuoru Li
Mladen Kolar,Han Liu
Nir Ailon,Zohar Shay Karnin
Chris Piech,Jonathan Huang
Seacute,bastien Giguegrave
Kai Zhang,Vincent Wenchen Zheng
Rita Chattopadhyay,Wei Fan
Wenzhuo Yang,Melvyn Sim
Lu Bai,Luca Rossi
Roman Garnett,Shirley Ho
Aaditya Ramdas,Aarti Singh
David K Duvenaud,James Robert Lloyd
James Martens,Roger B Grosse
Yevgeny Seldin,Peter L Bartlett
Freacute,deacute
Toby Hocking,Guillem Rigaill
Ilja Kuzborskij,Francesco Orabona
Rishabh K Iyer,Stefanie Jegelka
Jiyan Yang,Vikas Sindhwani
Steacute,phane Ross
Jacob Steinhardt,Percy Liang
Freacute,deacute
Jacob Steinhardt,Percy Liang
Roger B Grosse,Ruslan Salakhutdinov
Mingming Gong,Kun Zhang
Min Xiao,Yuhong Guo
Nan Du,Yingyu Liang
Andrew Cotter,Shai ShalevShwartz
Qian Zhao,Deyu Meng
Jeff Donahue,Yangqing Jia
Yue Wu,Joseacute
Siamak Ravanbakhsh,Christopher Srinivasa
Jasper Snoek,Oren Rippel
Gaurav Pandey,Ambedkar Dukkipati
Aaron Defazio,Justin Domke
Joseacute,Miguel Hernaacute
TzuKuo Huang,Jeff G Schneider
Seacute,bastien Giguegrave
Jacob Steinhardt,Percy Liang
Kirthevasan Kandasamy,Jeff G Schneider
Emanuele Coviello,Adeel Mumtaz
Tao Sun,Daniel Sheldon
Le Song,Mariya Ishteva
Stephen H Bach,Bert Huang
Yevgeny Seldin,Aleksandrs Slivkins
Ping Li,Michael Mitzenmacher
George Trigeorgis,Konstantinos Bousmalis
Ilya Sutskever,James Martens
Jason Pacheco,Erik B Sudderth
Michalis K Titsias,Miguel Laacute
Joseacute,Miguel Hernaacute
Alon Gonen,Sivan Sabato
Yifan Wu,Andraacute
Corinna Cortes,Vitaly Kuznetsov
Haitham BouAmmar,Rasul Tutunov
Minmin Chen,Kilian Q Weinberger
JanWillem van de Meent,Jonathan E Bronson
Aonan Zhang,Jun Zhu
Siddharth Gopal,Yiming Yang
Aviv Tamar,Dotan Di Castro
David LopezPaz,Joseacute
Neil Houlsby,Joseacute
Miao Xu,Rong Jin
Dan Zhang,Jingrui He
Jean Honorio,Tommi S Jaakkola
Rahaf Aljundi,Jeacute
Yining Wang,YuXiang Wang
Robert Gens,Pedro M Domingos
Anastasia Pentina,Christoph H Lampert
Paul Ruvolo,Eric Eaton
LiPing Liu,Thomas G Dietterich
Xinyang Yi,Constantine Caramanis
Krishnakumar Balasubramanian,Kai Yu
Chengtao Li,Jun Zhu
Hang Su,Jie Tang
Xiaodong Feng,Sen Wu
Banda Ramadan,Peter Christen
Nayyar A Zaidi,Geoffrey I Webb
Siyuan Liu,Ramayya Krishnan
Weixiang Shao,Lifang He
Yidong Li,Hong Shen
Sunil Kumar Gupta,Santu Rana
Congcong Li,Jing Sun
Meng Chen,Yang Liu
Lei Lv,Meng Chen
Guo Yan,Yuan Yao
Tam T Nguyen,Kuiyu Chang
Vassilis Plachouras,Matthieu Riviegrave
Fang Zhang,Jun Luo
P Gowtham Srinivas,P Krishna Reddy
Lianhua Chi,Bin Li
HsunPing Hsieh,ChengTe Li
Henrik Linusson,Ulf Johansson
Yan Zhou,Murat Kantarcioglu
Xin Xu,Jiaheng Lu
HongHan Shuai,DeNian Yang
Shaofeng Hu,Jiangtao Ren
Seiya Tokui,Issei Sato
Pengtao Huang,Bo Yuan
Meng Jiang,Peng Cui
Xinyu Wang,Chunhong Zhang
Qing Wang,Dinusha Vatsalan
Julia TzuYa Weng,JyunJie Lin
R Uday Kiran,Masaru Kitsuregawa
Chen Fang,Daniel N Rockmore
Reid A Johnson,Troy Raeder
Hedong Yang,Lijie Wen
Guangming Guo,Feida Zhu
David Tse Jung Huang,Yun Sing Koh
Lin Hui,HuanChao Keh
Xiongcai Cai,Michael Bain
HuiJu Hung,PuJen Cheng
Qing Wang,Jingyi Gao
Zhaoxing Li,Xianchao Zhang
Wenjuan Luo,Fuzhen Zhuang
Saiuml,d Jabbour
Rob M Konijn,Wouter Duivesteijn
Jeffrey Chan,Nguyen Xuan Vinh
Qing Liao,Naiyang Guan
Eakasit Pacharawongsakda,Thanaruk Theeramunkong
Meng Chen,Yang Liu
Nan Tian,Yue Xu
Qing Zhang,Houfeng Wang
Zhenguang Liu,Hao Huang
Wei Wu,Bin Li
HsunPing Hsieh,Rui Yan
Huizhi Liang,Yanzhe Wang
Fangfang Li,Guandong Xu
Harshit Dubey,Vikram Pudi
FanKai Chou,MengFen Chiang
Jun Gao,Weiming Hu
Xin Guan,ChangTsun Li
Phuoc Nguyen,Dat Tran
Yong Zhuang,WeiSheng Chin
Nayyar A Zaidi,Franccedil
Wenhao Shu,Hong Shen
Banda Ramadan,Peter Christen
Khanh Nguyen,Trung Le
Jinjiu Li,Can Wang
Jeffrey Fisher,Peter Christen
Eileen A Ni,Charles X Ling
Can Wang,Mingchun Wang
Jing Zhang,Douglas Gross
Yong Liu,Shizhong Liao
PeiYuan Zhou,Keith C C Chan
Jing Zheng,Jian Liu
Danai Koutra,Vasileios Koutras
Shuyang Lin,Qingbo Hu
Qianyi Zhan,Jiawei Zhang
ZhungXun Liao,WenChih Peng
Nan Cao,Siyuan Liu
